Category,Latitude,Longitude
Residential,27.7656472,85.342651
Residential,27.7657019,85.3426879
Residential,27.7657166,85.3427216
Residential,27.7727259,85.3556169
Residential,27.7728737,85.3575022
Residential,27.7729783,85.3577925
Residential,27.7721521,85.3576167
Residential,27.7724839,85.357173
Residential,27.772406,85.358054
Residential,27.7709177,85.3484989
Residential,27.7709973,85.3487804
Residential,27.7708355,85.3493205
Residential,27.7707162,85.3496283
Residential,27.7708034,85.3495299
Residential,27.7706433,85.3503241
Residential,27.7709534,85.348502
Residential,27.7763067,85.3427217
Residential,27.7759828,85.3425964
Residential,27.7756664,85.3424948
Residential,27.7704124,85.3563932
Residential,27.7702479,85.3565092
Residential,27.7702955,85.3563532
Residential,27.7709293,85.3563895
Residential,27.7702703,85.3572123
Residential,27.7681336,85.3547864
Residential,27.7681769,85.3547325
Residential,27.7681099,85.3547329
Residential,27.7686966,85.3542371
Residential,27.7689561,85.3542603
Residential,27.7688282,85.3543934
Residential,27.7688732,85.3537846
Residential,27.7685199,85.3547825
Residential,27.7693402,85.354087
Residential,27.7681306,85.3537159
Residential,27.7711973,85.356464
Residential,27.7703868,85.3563663
Residential,27.7700187,85.3564111
Residential,27.7703242,85.3570598
Residential,27.7704191,85.3562181
Residential,27.7710107,85.356086
Residential,27.7701104,85.3569643
Residential,27.7701307,85.3563258
Residential,27.7690659,85.3555192
Residential,27.768713,85.3537107
Residential,27.7683304,85.3535536
Residential,27.7690913,85.3555627
Residential,27.7685138,85.3539347
Residential,27.7684255,85.3537565
Residential,27.7732667,85.3528984
Residential,27.7722361,85.3523362
Residential,27.7724929,85.3520707
Residential,27.7726177,85.35209
Residential,27.7765635,85.3468509
Residential,27.7769146,85.3461502
Residential,27.776424,85.347017
Residential,27.7771485,85.3469274
Residential,27.7774993,85.3452681
Residential,27.7770165,85.3490029
Residential,27.7738596,85.3437796
Residential,27.7756764,85.3424696
Residential,27.7740936,85.3442458
Residential,27.7757599,85.3438383
Residential,27.774476,85.3447236
Residential,27.7756412,85.3423027
Residential,27.7759191,85.343469
Residential,27.7680816,85.3476719
Residential,27.7668157,85.3475403
Residential,27.7670134,85.3477092
Residential,27.7676772,85.3472548
Residential,27.7677247,85.3471898
Residential,27.7676753,85.3420109
Residential,27.7677351,85.3419894
Residential,27.7659623,85.3415535
Residential,27.7657245,85.3422831
Residential,27.7668289,85.3414222
Residential,27.7736284,85.353127
Residential,27.7724007,85.3523837
Residential,27.7722275,85.3524948
Residential,27.7723465,85.3520318
Residential,27.7726152,85.3519557
Residential,27.7727138,85.3524337
Residential,27.7726626,85.3525291
Residential,27.7726502,85.3523846
Residential,27.7728526,85.3518977
Residential,27.7726601,85.3529843
Residential,27.771503,85.3528128
Residential,27.7711883,85.3533
Residential,27.7745821,85.3534185
Residential,27.7733157,85.3522302
Residential,27.7683717,85.3489029
Residential,27.7696937,85.3483229
Residential,27.7694554,85.3485518
Residential,27.7675232,85.3536194
Residential,27.7673963,85.3536193
Residential,27.7672368,85.3532331
Residential,27.7672316,85.3532296
Residential,27.767269,85.3532733
Residential,27.7671029,85.3526292
Residential,27.7669466,85.3525432
Residential,27.7670441,85.352389
Residential,27.7670306,85.3523286
Residential,27.7671727,85.3523142
Residential,27.7671118,85.3523475
Residential,27.7670719,85.3523003
Residential,27.7670802,85.3520272
Residential,27.766893,85.3519074
Residential,27.7672192,85.3524933
Residential,27.7669909,85.3519117
Residential,27.7670338,85.3520356
Residential,27.767071,85.3521381
Residential,27.7670658,85.3523355
Residential,27.767734,85.3520936
Residential,27.7677968,85.3520486
Residential,27.7677676,85.3514255
Residential,27.7676829,85.3513197
Residential,27.7673045,85.3522103
Residential,27.7673654,85.3521872
Residential,27.7680456,85.3529744
Residential,27.7679426,85.3530492
Residential,27.7680572,85.3528987
Residential,27.767802,85.3527557
Residential,27.7678001,85.3526676
Residential,27.7675401,85.3521787
Residential,27.767727,85.3528142
Residential,27.7676996,85.3525617
Residential,27.767708,85.3523006
Residential,27.7678553,85.3523417
Residential,27.7770941,85.3446878
Residential,27.7674867,85.3521705
Residential,27.7725145,85.3552377
Residential,27.7699682,85.3552388
Residential,27.7723821,85.3551725
Residential,27.7700211,85.3546282
Residential,27.767154,85.3525569
Residential,27.770408,85.3506141
Residential,27.7705022,85.3511449
Residential,27.7705166,85.3510194
Residential,27.7707252,85.3512204
Residential,27.7707867,85.3517779
Residential,27.7707531,85.3517813
Residential,27.7678478,85.352806
Residential,27.7729321,85.3474218
Residential,27.7715816,85.3478075
Residential,27.7729661,85.349669
Residential,27.7717004,85.3480321
Residential,27.7720602,85.3479891
Residential,27.7731364,85.3475436
Residential,27.7729434,85.3477555
Residential,27.7724736,85.3481741
Residential,27.7730874,85.3474215
Residential,27.7725371,85.347085
Residential,27.7724314,85.3488166
Residential,27.7722666,85.3482042
Residential,27.7723972,85.3486592
Residential,27.7723255,85.3480898
Residential,27.7722352,85.3473707
Residential,27.7730815,85.3484199
Residential,27.7733772,85.3473968
Residential,27.7721491,85.3481847
Residential,27.7729693,85.3492822
Residential,27.7732474,85.3488123
Residential,27.7724144,85.3486403
Residential,27.7722111,85.3474686
Residential,27.7715835,85.3481366
Residential,27.772981,85.3488871
Residential,27.7721731,85.3482416
Residential,27.7717915,85.3480297
Residential,27.771685,85.3477953
Residential,27.7731169,85.3490576
Residential,27.7715761,85.3481441
Residential,27.7682018,85.3494668
Residential,27.7680923,85.3487774
Residential,27.7686347,85.3478975
Residential,27.7682305,85.3494815
Residential,27.7683526,85.3491113
Residential,27.7682044,85.3500699
Residential,27.7688151,85.3479517
Residential,27.7684244,85.3495805
Residential,27.7684616,85.3496558
Residential,27.7685068,85.3498614
Residential,27.7682863,85.3499121
Residential,27.7682703,85.3504137
Residential,27.7684067,85.3499499
Residential,27.768337,85.3490727
Residential,27.7680837,85.349123
Residential,27.7686333,85.3489565
Residential,27.7699221,85.3479492
Residential,27.7687807,85.349386
Residential,27.76815,85.3490598
Residential,27.7685939,85.3480528
Residential,27.7682915,85.3505811
Residential,27.7748673,85.3438797
Residential,27.7736323,85.34552
Residential,27.775983,85.3434848
Residential,27.7764279,85.3440056
Residential,27.7762765,85.343621
Residential,27.7696188,85.3480306
Residential,27.7675831,85.3533753
Residential,27.7672671,85.3530949
Residential,27.7727621,85.355591
Residential,27.7726336,85.3578826
Residential,27.7723176,85.3579233
